,User,Content,Like_Count,Quote_Count,Reply_Count,Date,content_words,words,neg,neu,pos,compound,label
0,1711,how's the world economy doing,11,0,9,2023-03-19,hows economy,"['hows', 'economy']",0.0,1.0,0.0,0.0,neutral
1,1750,"@FirstSquawk ONLY Western World economy WILL suffer.
Non-Western World has NEVER spent beyond their means. https://t.co/kAJvh95hSb",2,0,0,2023-03-19,firstsquawk western economy suffernonwestern never spent beyond means,"['firstsquawk', 'western', 'economy', 'suffernonwestern', 'never', 'spent', 'beyond', 'means']",0.0,1.0,0.0,0.0,neutral
2,1063,"To those complaining about an exhausting work week, 

Be grateful to HAVE a job when the world economy is going down the drain, we're in a crypto bear market and millions are unemployed with their savings being inflated away!",1,0,0,2023-03-19,complaining exhausting work week grateful job economy going drain crypto bear market millions unemployed savings inflated away,"['complaining', 'exhausting', 'work', 'week', 'grateful', 'job', 'economy', 'going', 'drain', 'crypto', 'bear', 'market', 'millions', 'unemployed', 'savings', 'inflated', 'away']",0.202,0.657,0.141,-0.0772,negative
3,220,"@twobluecats @JordanInHouston @academic_la @AOC @BernieSanders @IlhanMN I said the same thing and he did not support; he expressed solidarity with millions of people struggling in a world economy that left them out &amp; that they look for answers and help.

https://t.co/CrW0W0yDfx",1,0,0,2023-03-19,twobluecats jordaninhouston academicla aoc berniesanders ilhanmn said thing support expressed solidarity millions people struggling economy left amp look answers help,"['twobluecats', 'jordaninhouston', 'academicla', 'aoc', 'berniesanders', 'ilhanmn', 'said', 'thing', 'support', 'expressed', 'solidarity', 'millions', 'people', 'struggling', 'economy', 'left', 'amp', 'look', 'answers', 'help']",0.106,0.606,0.288,0.5859,positive
4,2686,"@adjusted_ARR @wavylee1 @zachweinberg I don't know if the dollar will lose its status as a reserve currency, but history would suggest that the world economy does not 'functionally collapse' when the reserve currency changes.

They last about 100 years. It's not the end of the world when they switch.",0,0,1,2023-03-19,adjustedarr zachweinberg dont know dollar lose status reserve currency history would suggest economy functionally collapse reserve currency changesthey last years end switch,"['adjustedarr', 'zachweinberg', 'dont', 'know', 'dollar', 'lose', 'status', 'reserve', 'currency', 'history', 'would', 'suggest', 'economy', 'functionally', 'collapse', 'reserve', 'currency', 'changesthey', 'last', 'years', 'end', 'switch']",0.126,0.786,0.089,-0.2363,negative
5,1474,"@ChuckVacuumBeth @benmyfriend1 @JStein_WaPo @jdcmedlock I’d say the  probability of balaji winning is 0%&lt;x&lt;1%. At least for now. 

We didn’t think the world economy would shut down but here we are.",1,0,1,2023-03-19,chuckvacuumbeth jsteinwapo jdcmedlock i’d say probability balaji winning ltxlt least didn’t think economy would shut,"['chuckvacuumbeth', 'jsteinwapo', 'jdcmedlock', 'i’d', 'say', 'probability', 'balaji', 'winning', 'ltxlt', 'least', 'didn’t', 'think', 'economy', 'would', 'shut']",0.0,0.805,0.195,0.5267,positive
6,1786,"@BradySutton2 @joemulvihilljr @Stonekettle News flash the hall monitors have lost advantage of the world economy..
And hall monitors don't build anything",0,0,0,2023-03-19,joemulvihilljr stonekettle news flash hall monitors lost advantage economyand hall monitors dont build anything,"['joemulvihilljr', 'stonekettle', 'news', 'flash', 'hall', 'monitors', 'lost', 'advantage', 'economyand', 'hall', 'monitors', 'dont', 'build', 'anything']",0.141,0.736,0.123,-0.0772,negative
7,2640,"@Gugo907 I see difficult times for analysts. Western demand is poised to disappoint in the short, medium and long term but western economies are a shrinking portion of the world economy and analysts have not the tools to value this epocal change. They will be surprised one way or another.",0,0,0,2023-03-19,see difficult times analysts western demand poised disappoint short medium long term western economies shrinking portion economy analysts tools value epocal change surprised one way another,"['see', 'difficult', 'times', 'analysts', 'western', 'demand', 'poised', 'disappoint', 'short', 'medium', 'long', 'term', 'western', 'economies', 'shrinking', 'portion', 'economy', 'analysts', 'tools', 'value', 'epocal', 'change', 'surprised', 'one', 'way', 'another']",0.203,0.606,0.191,-0.1027,negative
8,669,@Reuters T-Bills are destroying the world Economy. 😂,0,0,0,2023-03-19,reuters tbills destroying economy 😂,"['reuters', 'tbills', 'destroying', 'economy', '😂']",0.545,0.455,0.0,-0.5574,negative
9,384,"@realmattcpa @financialjuice the world is bailing us out right now, but the fact that they're doing it makes us exposed to the liability of bailing out the world economy in the future.",0,0,0,2023-03-19,realmattcpa financialjuice bailing us right fact theyre makes us exposed liability bailing economy future,"['realmattcpa', 'financialjuice', 'bailing', 'us', 'right', 'fact', 'theyre', 'makes', 'us', 'exposed', 'liability', 'bailing', 'economy', 'future']",0.205,0.795,0.0,-0.2732,negative
